         633662181 function calls (624021167 primitive calls) in 545.928 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3413    0.761    0.000   15.276    0.004 p:\学校相关\比赛、项目及其他\2022交科校赛\MARL_CAVs\MARL_CAVs-main\MARL\MaPPO.py:407(_softmax_action)
   565056    0.708    0.000   10.530    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\computation\expressions.py:217(evaluate)
   529782    0.700    0.000    3.407    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\dtypes\common.py:1330(is_bool_dtype)
    17661    0.694    0.000    0.809    0.000 {method 'choice' of 'numpy.random.mtrand.RandomState' objects}
    52977    0.686    0.000   22.814    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\construction.py:329(_homogenize)
   229557    0.674    0.000    0.908    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\numpy\core\shape_base.py:82(atleast_2d)
   370845    0.665    0.000    1.033    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\indexes\base.py:463(_simple_new)
   105954    0.660    0.000    2.934    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\dtypes\cast.py:442(maybe_promote)
   565056    0.653    0.000    0.727    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\indexes\base.py:4039(__contains__)
  1178723    0.647    0.000    9.620    0.000 <__array_function__ internals>:2(norm)
  2172039    0.644    0.000    0.644    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\numpy\core\_dtype.py:24(_kind_name)
  2489931    0.632    0.000    2.095    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\managers.py:214(<genexpr>)
   403191    0.630    0.000    4.608    0.000 ..\highway_env\vehicle\kinematics.py:199(_is_colliding)
  4043739    0.626    0.000    0.626    0.000 {built-in method builtins.hash}
    35322    0.621    0.000    7.265    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\reshape\concat.py:295(__init__)
   211896    0.619    0.000   11.838    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\generic.py:3570(_iset_item)
  4520928    0.617    0.000    0.617    0.000 {built-in method numpy.geterrobj}
  1072132    0.602    0.000    3.547    0.000 <__array_function__ internals>:2(ndim)
   141264    0.599    0.000    0.599    0.000 {built-in method _operator.mul}
