         985027882 function calls (967092260 primitive calls) in 990.551 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   135880    0.468    0.000   14.518    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\indexes\api.py:109(_get_combined_index)
  2923246    2.979    0.000   13.983    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\dtypes\dtypes.py:1119(is_dtype)
   272424    1.176    0.000   13.830    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\managers.py:369(apply)
   379632   13.471    0.000   13.471    0.000 {method 'matmul' of 'torch._C._TensorBase' objects}
  4179680    2.322    0.000   13.465    0.000 {built-in method builtins.any}
  1972418    4.573    0.000   13.409    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\numpy\core\_dtype.py:321(_name_get)
  5227040    5.624    0.000   13.262    0.000 ..\highway_env\road\graphics.py:47(pos2pix)
   610962    0.806    0.000   13.233    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\concat.py:480(<genexpr>)
 11145740    3.264    0.000   13.076    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\numpy\core\_asarray.py:14(asarray)
  1633216    3.853    0.000   13.021    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\blocks.py:124(__init__)
  2923246    1.657    0.000   12.823    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\dtypes\common.py:381(is_datetime64tz_dtype)
45710577/37411614    9.742    0.000   12.710    0.000 {built-in method builtins.len}
   407640    1.004    0.000   12.391    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\dtypes\missing.py:358(array_equivalent)
    68106    1.907    0.000   12.319    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\concat.py:351(_get_empty_dtype_and_na)
  1087704    3.430    0.000   12.260    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\dtypes\cast.py:1187(maybe_castable)
   272424    0.538    0.000   12.169    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\managers.py:1573(from_array)
   838036    0.620    0.000   11.655    0.000 {built-in method builtins.sum}
   136212    0.159    0.000   11.589    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\managers.py:542(setitem)
       25    0.008    0.000   11.417    0.457 ..\highway_env\envs\common\graphics.py:22(__init__)
   408636    1.985    0.000   11.370    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\managers.py:993(iget)
   136212    0.447    0.000   11.128    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\frame.py:3095(_iset_item)
   202650    2.248    0.000   10.788    0.000 ..\highway_env\road\road.py:268(<listcomp>)
    68106    0.395    0.000   10.753    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\managers.py:1898(_consolidate)
   844962    3.854    0.000   10.650    0.000 ..\highway_env\road\lane.py:102(distance_with_heading)
  4347092    5.430    0.000   10.609    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\numpy\core\fromnumeric.py:3075(ndim)
   271760    4.221    0.000   10.553    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\managers.py:238(_rebuild_blknos_and_blklocs)
   339866    0.174    0.000   10.532    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\dtypes\missing.py:47(isna)
  2041188    1.699    0.000   10.384    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\construction.py:339(extract_array)
   339866    0.598    0.000   10.358    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\dtypes\missing.py:130(_isna)
       25   10.211    0.408   10.211    0.408 {built-in method pygame.base.init}
   136212    1.008    0.000   10.125    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\blocks.py:782(setitem)
   747506    0.804    0.000   10.113    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\dtypes\common.py:566(is_string_dtype)
   135880    0.247    0.000   10.082    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\concat.py:49(<listcomp>)
    22424    0.064    0.000   10.067    0.000 ..\highway_env\envs\highway_env_v1.py:51(_reward)
 18607049    9.960    0.000    9.960    0.000 {built-in method builtins.hasattr}
    89696    0.096    0.000    9.927    0.000 ..\highway_env\envs\highway_env_v1.py:52(<genexpr>)
  2923246    3.873    0.000    9.903    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\dtypes\common.py:224(is_sparse)
  1138896    9.860    0.000    9.860    0.000 {method 't' of 'torch._C._TensorBase' objects}
   271760    4.578    0.000    9.835    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\concat.py:87(_get_mgr_concatenation_plan)
  9178706    6.593    0.000    9.736    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\dtypes\base.py:413(find)
   135880    0.613    0.000    9.365    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\indexes\api.py:161(union_indexes)
   747506    0.538    0.000    9.308    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\dtypes\common.py:1541(_is_dtype)
  5061430    4.925    0.000    9.096    0.000 X:\Anaconda\envs\marl_cav\lib\abc.py:180(__instancecheck__)
   136212    0.434    0.000    8.894    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\frame.py:2816(_ixs)
  2105440    8.846    0.000    8.846    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\numpy\core\_methods.py:87(_clip_dep_invoke_with_casting)
   339866    1.631    0.000    8.722    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\dtypes\missing.py:193(_isna_ndarraylike)
  3397996    2.832    0.000    8.699    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\dtypes\common.py:194(is_object_dtype)
 13255900    8.653    0.000    8.653    0.000 ..\highway_env\road\graphics.py:38(pix)
