         985027882 function calls (967092260 primitive calls) in 990.551 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   272424    0.994    0.000    7.101    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\ops\array_ops.py:119(na_arithmetic_op)
   272424    0.983    0.000   54.496    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\ops\__init__.py:335(wrapper)
   272424    0.968    0.000   27.115    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\frame.py:3028(__setitem__)
  8053380    0.963    0.000    0.963    0.000 {method 'append' of 'list' objects}
  2041188    0.948    0.000    1.276    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\common.py:149(cast_scalar_indexer)
   136212    0.940    0.000    1.231    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\numpy\core\numerictypes.py:545(_can_coerce_all)
  1070124    0.930    0.000   23.531    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\torch\nn\modules\activation.py:101(forward)
   339866    0.895    0.000   24.292    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\frame.py:441(__init__)
  1633216    0.892    0.000    0.892    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\blocks.py:135(_check_ndim)
   407972    0.889    0.000    2.314    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\common.py:218(asarray_tuplesafe)
   681060    0.878    0.000    4.089    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\indexes\base.py:2854(get_loc)
   544848    0.875    0.000    3.270    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\blocks.py:256(make_block_same_class)
   203986    0.874    0.000    1.576    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\dtypes\cast.py:1570(construct_1d_object_array_from_listlike)
   280783    0.868    0.000    8.300    0.000 {built-in method builtins.sorted}
    28595    0.863    0.000    4.157    0.000 ..\highway_env\utils.py:120(<listcomp>)
  1138896    0.862    0.000    0.862    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\torch\nn\functional.py:1686(<listcomp>)
   136212    0.861    0.000   61.390    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\indexing.py:661(__setitem__)
   272424    0.857    0.000    4.468    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\computation\expressions.py:61(_evaluate_standard)
   339866    0.852    0.000    7.889    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\indexes\base.py:5653(default_index)
    68106    0.841    0.000    7.109    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\managers.py:1915(_merge_blocks)
   589053    0.839    0.000    5.585    0.000 ..\highway_env\road\road.py:276(<lambda>)
   272424    0.817    0.000   24.620    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\frame.py:3109(_set_item)
   408636    0.816    0.000    2.263    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\frame.py:3722(reindexer)
   610962    0.806    0.000   13.233    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\concat.py:480(<genexpr>)
   747506    0.804    0.000   10.113    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\dtypes\common.py:566(is_string_dtype)
    22424    0.798    0.000  737.757    0.033 ..\highway_env\envs\highway_env_v1.py:142(step)
   681060    0.797    0.000    0.896    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\series.py:398(_set_axis)
  1956802    0.796    0.000    0.796    0.000 ..\highway_env\road\road.py:39(get_lane)
  1209346    0.795    0.000   15.779    0.000 ..\highway_env\vehicle\kinematics.py:175(check_collision)
